Block,Site,Class,Pot,Month,Day,Sex,WingSize
1,6,rural,1,7,10,M,2.32
1,6,rural,2,6,24,M,2.8
1,6,rural,2,6,24,M,2.68
1,6,rural,2,6,24,M,2.76
1,6,rural,2,6,24,M,2.92
1,6,rural,2,6,24,M,2.6
1,6,rural,2,6,25,M,2.6
1,6,rural,2,6,25,F,3.2
1,6,rural,2,6,26,M,2.68
1,6,rural,2,6,26,M,2.64
1,6,rural,2,6,26,M,2.64
1,6,rural,2,6,26,M,2.6
1,6,rural,2,6,26,F,3.28
1,6,rural,2,6,27,F,3.04
1,6,rural,2,6,29,F,3.16
1,6,rural,3,6,24,M,2.64
1,6,rural,3,6,24,M,2.56
1,6,rural,3,6,24,M,2.6
1,6,rural,3,6,24,M,2.56
1,6,rural,3,6,24,M,2.64
1,6,rural,3,6,24,M,2.6
1,6,rural,3,6,25,M,2.6
1,6,rural,3,6,25,F,2.36
1,6,rural,3,6,26,F,2.84
1,6,rural,3,6,26,F,3
1,6,rural,3,6,26,F,3.12
1,6,rural,3,6,28,F,3
1,6,rural,3,6,28,F,3.08
1,6,rural,3,7,7,F,2.92
1,6,rural,3,7,7,F,3.28
1,6,rural,3,7,1,F,2.92
1,6,rural,3,7,3,F,3.04
1,6,rural,4,6,23,M,2.72
1,6,rural,4,6,24,M,2.68
1,6,rural,4,6,25,F,3.2
1,6,rural,4,6,25,M,2.8
1,6,rural,4,6,25,M,2.6
1,6,rural,4,6,25,M,2.52
1,6,rural,4,6,25,M,2.8
1,6,rural,4,6,25,M,2.76
1,6,rural,4,6,26,M,2.6
1,6,rural,4,6,26,M,2.48
1,6,rural,4,6,26,F,3.16
1,6,rural,4,6,26,F,3
1,6,rural,4,6,27,F,3.08
1,6,rural,4,6,27,F,2.88
1,6,rural,4,6,27,F,2.8
1,6,rural,4,6,29,F,3.2
1,6,rural,4,7,3,F,3.44
1,6,rural,5,6,24,M,2.84
1,6,rural,5,6,24,M,2.68
1,6,rural,5,6,25,F,3.2
1,6,rural,5,6,25,F,3.16
1,6,rural,5,6,25,F,3.52
1,6,rural,5,6,25,M,2.4
1,6,rural,5,6,25,F,3.16
1,6,rural,5,6,26,F,2.88
1,6,rural,5,6,26,F,3.24
1,6,rural,5,6,26,F,3.16
1,6,rural,5,6,26,F,3.2
1,6,rural,5,6,27,M,2.64
1,6,rural,5,6,27,F,3.24
1,6,rural,5,6,27,F,3.04
